Class Name,Source Image,Target Image,Similarity
4_train,40288.png,18551.png,0.034522712
4_train,12922.png,24018.png,0.034552574
4_train,1440.png,54452.png,0.035067856
4_train,6810.png,12418.png,0.03538245
4_train,6810.png,1440.png,0.035566747
4_train,31114.png,50564.png,0.03573835
4_train,18551.png,22584.png,0.03585267
4_train,46498.png,17576.png,0.03590834
4_train,35490.png,31114.png,0.035908878
4_train,47198.png,1440.png,0.036078155
4_train,10960.png,40288.png,0.03609675
4_train,26858.png,54960.png,0.036140382
4_train,31114.png,1110.png,0.036380768
4_train,12922.png,6810.png,0.03648722
4_train,17276.png,31114.png,0.036528707
4_train,31114.png,24302.png,0.036680043
4_train,52279.png,2608.png,0.036732674
4_train,34808.png,12922.png,0.036798537
4_train,4952.png,22584.png,0.03687948
4_train,31114.png,5880.png,0.037127793
4_train,56320.png,12922.png,0.037130356
4_train,50844.png,54452.png,0.037155926
4_train,54936.png,31114.png,0.0371629
4_train,41950.png,4952.png,0.037215352
4_train,35490.png,12922.png,0.037229717
4_train,54960.png,24514.png,0.037419736
4_train,24514.png,44998.png,0.03758025
4_train,6810.png,13520.png,0.03779328
4_train,31114.png,37884.png,0.03791207
4_train,22584.png,16068.png,0.037931025
4_train,55490.png,57076.png,0.038005114
4_train,54960.png,52279.png,0.038029432
4_train,55490.png,31453.png,0.0380615
4_train,52279.png,31114.png,0.038103998
4_train,31114.png,18724.png,0.038291097
4_train,54452.png,4952.png,0.038295567
4_train,41079.png,17576.png,0.038309395
4_train,39080.png,52279.png,0.03837967
4_train,31114.png,39866.png,0.03842944
4_train,31114.png,2050.png,0.038444877
4_train,12922.png,5936.png,0.038448095
4_train,24514.png,1440.png,0.03853208
4_train,5936.png,40766.png,0.038726866
4_train,16450.png,6810.png,0.038752675
4_train,40288.png,12922.png,0.038787603
4_train,576.png,4952.png,0.038831472
4_train,31114.png,754.png,0.03892988
4_train,22580.png,31114.png,0.038956463
4_train,35490.png,17926.png,0.039040267
4_train,31114.png,35725.png,0.03904456
4_train,40766.png,52279.png,0.039117455
4_train,49398.png,17576.png,0.039136052
4_train,17822.png,17576.png,0.039162576
4_train,5936.png,31114.png,0.039219916
4_train,35490.png,10626.png,0.039248347
4_train,39080.png,5936.png,0.03925693
4_train,54452.png,51170.png,0.039323866
4_train,7489.png,55490.png,0.03936398
4_train,55418.png,17926.png,0.039376676
4_train,34808.png,17926.png,0.03938973
4_train,31114.png,55416.png,0.039438546
4_train,55490.png,25613.png,0.03950602
4_train,10928.png,31114.png,0.03951764
4_train,29206.png,17576.png,0.039622545
4_train,54452.png,13520.png,0.039627314
4_train,10960.png,54452.png,0.039678514
4_train,36296.png,40288.png,0.039788604
4_train,12922.png,48959.png,0.039791107
4_train,1440.png,40288.png,0.03979528
4_train,20234.png,6810.png,0.039839983
4_train,54452.png,31114.png,0.039916098
4_train,40288.png,10626.png,0.039934874
4_train,18056.png,31114.png,0.039938986
4_train,17576.png,22584.png,0.040073454
4_train,57076.png,39080.png,0.04013002
4_train,48892.png,31114.png,0.04015374
4_train,20932.png,40288.png,0.04027438
4_train,42455.png,31114.png,0.04030472
4_train,40288.png,16068.png,0.040321827
5_train,57942.png,34365.png,0.0025319457
5_train,34365.png,29870.png,0.0056370497
5_train,36774.png,5414.png,0.0066818595
5_train,12572.png,5414.png,0.006855428
5_train,7740.png,34365.png,0.0074959397
5_train,51990.png,57461.png,0.009185553
5_train,34365.png,12572.png,0.010133147
5_train,51990.png,6431.png,0.010215938
5_train,14389.png,47940.png,0.010645568
5_train,13699.png,30448.png,0.010989428
5_train,51990.png,11115.png,0.0115814805
5_train,36774.png,13699.png,0.011630714
5_train,49460.png,5414.png,0.012006223
5_train,34365.png,36774.png,0.012076497
5_train,59993.png,51990.png,0.012154818
5_train,34365.png,37448.png,0.012576759
5_train,53715.png,36774.png,0.012584925
5_train,34365.png,31242.png,0.012665391
5_train,50322.png,34365.png,0.012676775
5_train,55322.png,57461.png,0.013050497
5_train,34626.png,34365.png,0.013499618
5_train,24180.png,34365.png,0.013597846
5_train,53715.png,2758.png,0.013723671
5_train,59960.png,10286.png,0.014916658
5_train,57156.png,22783.png,0.015087962
5_train,59960.png,14854.png,0.0151132345
5_train,37606.png,53715.png,0.015219152
5_train,5414.png,51990.png,0.015399754
5_train,51990.png,59968.png,0.015575945
5_train,12572.png,53715.png,0.015703857
5_train,11115.png,47940.png,0.016383052
5_train,5414.png,24180.png,0.016739845
5_train,5414.png,55322.png,0.01695931
5_train,36774.png,14389.png,0.01716566
5_train,56813.png,41693.png,0.017172635
5_train,14218.png,34365.png,0.017436862
5_train,42447.png,48971.png,0.01745683
5_train,53715.png,24180.png,0.018172503
5_train,30448.png,34365.png,0.018318474
5_train,56813.png,36332.png,0.018642366
5_train,13248.png,22783.png,0.018908322
5_train,47940.png,38610.png,0.020063281
5_train,47940.png,56939.png,0.020076394
5_train,34365.png,42046.png,0.02023077
5_train,2758.png,34365.png,0.020284474
5_train,34841.png,28512.png,0.020606339
5_train,17543.png,32720.png,0.020679593
5_train,26034.png,57055.png,0.021284282
5_train,39972.png,34365.png,0.021409988
5_train,50650.png,34365.png,0.021906257
5_train,57055.png,54880.png,0.02201724
5_train,13460.png,57055.png,0.02205956
5_train,5414.png,21034.png,0.02221179
5_train,22783.png,31768.png,0.022714853
5_train,20837.png,51990.png,0.023035109
5_train,56939.png,36774.png,0.023106456
5_train,47940.png,34365.png,0.023123503
5_train,13699.png,14854.png,0.02315414
5_train,34365.png,37551.png,0.023185313
5_train,8023.png,36774.png,0.023335278
5_train,22783.png,27296.png,0.02349484
5_train,35274.png,52121.png,0.023676038
5_train,42447.png,42267.png,0.023783147
5_train,56813.png,5688.png,0.023804426
5_train,42447.png,56813.png,0.023937285
5_train,45470.png,56813.png,0.02406764
5_train,57942.png,53715.png,0.024290383
5_train,39021.png,57182.png,0.024296999
5_train,13732.png,22783.png,0.024422884
5_train,34821.png,38360.png,0.02453065
5_train,34817.png,28748.png,0.02461958
5_train,12572.png,14389.png,0.02466172
5_train,30980.png,38610.png,0.024666846
5_train,52121.png,32757.png,0.024710119
5_train,8023.png,12572.png,0.024824321
5_train,47940.png,53715.png,0.024855852
5_train,24180.png,56360.png,0.024992287
5_train,22801.png,36774.png,0.024993718
5_train,52255.png,46924.png,0.025114357
5_train,34002.png,14218.png,0.02526325
5_train,38577.png,42447.png,0.025535762
5_train,35702.png,34821.png,0.02562058
5_train,59960.png,55958.png,0.025630057
5_train,38610.png,50650.png,0.025660813
5_train,2461.png,47940.png,0.02567178
5_train,38655.png,42447.png,0.02573651
5_train,49460.png,38610.png,0.025998235
5_train,56813.png,13619.png,0.026057303
5_train,34821.png,37830.png,0.026070356
5_train,47848.png,22783.png,0.0260908
5_train,8744.png,53715.png,0.026113093
5_train,9607.png,51990.png,0.026168108
5_train,56813.png,57182.png,0.026413202
5_train,56813.png,21360.png,0.02641344
5_train,31687.png,34821.png,0.02643317
5_train,34365.png,5550.png,0.026550174
5_train,34002.png,42046.png,0.026590943
5_train,27627.png,59960.png,0.026633322
5_train,27002.png,22783.png,0.026727319
5_train,34365.png,37606.png,0.02680087
6_train,35026.png,3136.png,0.026654422
6_train,53398.png,3136.png,0.036594868
6_train,18908.png,3136.png,0.03693819
6_train,3136.png,4170.png,0.03817445
6_train,3136.png,2588.png,0.041342437
