Class Name,Source Image,Target Image,Similarity
2_train,18845.png,32561.png,0.030805051
2_train,1988.png,35947.png,0.031121612
2_train,45501.png,22232.png,0.031279743
2_train,35947.png,20710.png,0.0317142
2_train,27791.png,5400.png,0.03183067
2_train,31188.png,24360.png,0.031878054
2_train,49106.png,27791.png,0.032075226
2_train,27791.png,36942.png,0.03208065
2_train,35947.png,24939.png,0.032092154
2_train,27791.png,54350.png,0.032115817
2_train,50196.png,29967.png,0.032247722
2_train,45501.png,2402.png,0.032253325
2_train,45501.png,11420.png,0.032440305
2_train,31709.png,27791.png,0.03259927
2_train,55011.png,35947.png,0.03262937
2_train,35927.png,55011.png,0.032678246
2_train,29967.png,35947.png,0.03286636
2_train,1852.png,33930.png,0.03289354
2_train,27791.png,5236.png,0.032957435
2_train,27791.png,42341.png,0.033145785
2_train,29967.png,22500.png,0.03320241
2_train,27791.png,23038.png,0.033361495
2_train,33930.png,45501.png,0.03343332
2_train,35927.png,46001.png,0.03368169
2_train,4518.png,27791.png,0.033700168
2_train,22112.png,45501.png,0.03383112
2_train,45501.png,27458.png,0.033975363
2_train,29967.png,58409.png,0.034109175
2_train,25238.png,27791.png,0.034182668
2_train,41710.png,45501.png,0.034235775
2_train,9203.png,29967.png,0.034322977
2_train,35927.png,29967.png,0.034402728
2_train,35909.png,55011.png,0.03445059
2_train,58409.png,24360.png,0.03451121
2_train,27791.png,1753.png,0.034640253
2_train,32627.png,27791.png,0.034871876
2_train,35947.png,46001.png,0.03503084
2_train,37440.png,45501.png,0.035104692
2_train,35947.png,1852.png,0.035171986
2_train,13330.png,29967.png,0.035211563
2_train,18850.png,55011.png,0.035327256
2_train,35927.png,27791.png,0.03535396
2_train,29967.png,41710.png,0.0354082
2_train,27791.png,55170.png,0.035461605
2_train,35947.png,24971.png,0.035494328
2_train,10514.png,45501.png,0.03552383
2_train,27791.png,27393.png,0.03553313
2_train,29967.png,49090.png,0.035561144
2_train,29967.png,866.png,0.03556162
2_train,35947.png,47354.png,0.03560424
2_train,27791.png,44502.png,0.035794437
2_train,35090.png,27791.png,0.035876513
2_train,5307.png,35947.png,0.03588915
2_train,33930.png,5307.png,0.035913825
2_train,29967.png,57104.png,0.035966873
2_train,29967.png,10514.png,0.036078513
2_train,29967.png,15948.png,0.03622055
2_train,45779.png,54981.png,0.03631234
2_train,57142.png,27791.png,0.036350787
2_train,58098.png,27791.png,0.036388636
2_train,42799.png,35947.png,0.036482573
2_train,45501.png,33547.png,0.036518395
2_train,27791.png,32763.png,0.03663397
2_train,27791.png,32561.png,0.036639094
2_train,1374.png,35947.png,0.03665495
2_train,24786.png,29967.png,0.036696732
2_train,27791.png,56598.png,0.03671044
2_train,27791.png,43794.png,0.036762238
2_train,35947.png,45501.png,0.036772966
2_train,33930.png,55011.png,0.036798477
2_train,27719.png,45501.png,0.036833704
2_train,19602.png,55011.png,0.037019193
2_train,46001.png,1614.png,0.037076652
2_train,29967.png,27721.png,0.03714174
2_train,27791.png,14302.png,0.03722644
2_train,1614.png,27791.png,0.037237346
2_train,56168.png,27791.png,0.037248075
2_train,7431.png,27791.png,0.037260234
2_train,56598.png,55011.png,0.03729999
2_train,27138.png,27791.png,0.03744322
2_train,35947.png,32212.png,0.037443876
2_train,29967.png,20742.png,0.037561774
2_train,27791.png,23018.png,0.037585378
2_train,33591.png,45501.png,0.037609756
2_train,35927.png,35161.png,0.037628055
2_train,27791.png,11738.png,0.037645757
2_train,35927.png,45501.png,0.037647426
2_train,866.png,5307.png,0.037709355
2_train,17265.png,33930.png,0.037802577
3_train,53570.png,18986.png,0.0353384
3_train,41565.png,2092.png,0.03626871
3_train,13831.png,13713.png,0.03842956
3_train,57474.png,41565.png,0.04165703
3_train,23490.png,52129.png,0.041726053
3_train,34048.png,17062.png,0.043210387
3_train,32688.png,52129.png,0.044336617
3_train,52129.png,52394.png,0.045108795
3_train,14266.png,41565.png,0.04564023
3_train,41565.png,23490.png,0.04643154
3_train,52129.png,47618.png,0.047086537
3_train,57474.png,11693.png,0.047248125
3_train,22522.png,11693.png,0.047614515
3_train,14916.png,11693.png,0.04776597
3_train,31703.png,11693.png,0.047968328
3_train,11693.png,21112.png,0.04812044
3_train,51274.png,52129.png,0.048321545
3_train,34048.png,52404.png,0.04839909
3_train,14266.png,39851.png,0.048962653
3_train,53570.png,52014.png,0.049189985
3_train,34048.png,9074.png,0.04979843
3_train,39909.png,53570.png,0.04981631
3_train,2092.png,52129.png,0.049880445
3_train,1872.png,12812.png,0.05008006
3_train,11545.png,57474.png,0.05016941
3_train,34048.png,3684.png,0.05042517
3_train,53108.png,11545.png,0.050519943
3_train,25034.png,33510.png,0.0506711
3_train,14266.png,11545.png,0.050730467
3_train,21112.png,39851.png,0.050970674
3_train,11693.png,2092.png,0.05111897
3_train,52129.png,228.png,0.051734447
3_train,59980.png,13713.png,0.05196607
3_train,25034.png,17062.png,0.05202192
3_train,12812.png,31745.png,0.052027643
3_train,39851.png,2092.png,0.05207795
3_train,16954.png,31345.png,0.052242935
3_train,17062.png,11747.png,0.052392483
3_train,52404.png,11693.png,0.052534282
3_train,17062.png,11693.png,0.05283618
3_train,14266.png,11705.png,0.053049564
3_train,33510.png,52129.png,0.053317368
3_train,3684.png,11693.png,0.053459466
3_train,52129.png,48258.png,0.053758144
3_train,53108.png,34048.png,0.053956747
3_train,46070.png,31345.png,0.0540812
