Índice: 143, Valor CSG: 0.9997997997997998, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01395.png
Índice: 144, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01411.png
Índice: 145, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01416.png
Índice: 146, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01442.png
Índice: 147, Valor CSG: 0.9998998998998999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01445.png
Índice: 148, Valor CSG: 0.9998997995991984, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01454.png
Índice: 149, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01468.png
Índice: 150, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01474.png
Índice: 151, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01518.png
Índice: 152, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01524.png
Índice: 153, Valor CSG: 0.9995987963892092, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01525.png
Índice: 154, Valor CSG: 0.9998995984738975, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01530.png
Índice: 155, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01538.png
Índice: 156, Valor CSG: 0.9991991991991992, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01552.png
Índice: 157, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01593.png
Índice: 158, Valor CSG: 0.9989989997974148, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01594.png
Índice: 159, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\01595.png
